baseline,version,run_id,model,subset,benchmark_group,n,EX,executable_count,plan_valid_count,avg_reduction,fallback_rate,repair_rate,latency_p50_ms,latency_p95_ms,wilson_ci_low,wilson_ci_high,baseline_name,schema_strategy,evaluation_mode,status
b2v2,v2,b2v2_llama_3p1_8b_spider2lite_30,meta-llama/Llama-3.1-8B-Instruct,spider2lite_30,external_validation,30,0.0,0,,,,,,,0.0000,0.1135,,full_schema_proxy_planner_full_schema_synth,prediction_only_structural_metrics,completed
b2v2,v2,b2v2_multidb30,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.8,29,,,,,,,0.6269,0.9050,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen2p5_coder_14b_bird_minidev_30,Qwen/Qwen2.5-Coder-14B-Instruct,bird_minidev_30,external_validation,30,0.2,22,,0.5311263736263736,,,,,0.0950,0.3731,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen2p5_coder_14b_multidb30,Qwen/Qwen2.5-Coder-14B-Instruct,multidb_30,internal_core,30,0.9,30,,0.5527777777777777,,,,,0.7438,0.9654,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen2p5_coder_14b_smoke10,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_10,internal_core,10,0.8,10,,0.475,,,,,0.4902,0.9433,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen2p5_coder_14b_smoke25,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_25,internal_core,25,0.88,25,,0.58,,,,,0.7004,0.9583,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen2p5_coder_14b_spider2lite_30,Qwen/Qwen2.5-Coder-14B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,full_schema_planner_full_schema_synth,prediction_only_structural_metrics,completed
b2v2,v2,b2v2_qwen2p5_coder_7b_bird_minidev_30,Qwen/Qwen2.5-Coder-7B-Instruct,bird_minidev_30,external_validation,30,0.2,22,,,,,,,0.0950,0.3731,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen2p5_coder_7b_spider2lite_30,Qwen/Qwen2.5-Coder-7B-Instruct,spider2lite_30,external_validation,30,0.0,0,,,,,,,0.0000,0.1135,,full_schema_proxy_planner_full_schema_synth,prediction_only_structural_metrics,completed
b2v2,v2,b2v2_qwen_qwen2.5_7b_instruct_bird_minidev_30,Qwen/Qwen2.5-7B-Instruct,bird_minidev_30,external_validation,30,0.16666666666666666,21,,0.5311263736263736,,,,,0.0734,0.3356,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen_qwen2.5_7b_instruct_multidb30,Qwen/Qwen2.5-7B-Instruct,multidb_30,internal_core,30,0.7333333333333333,29,,0.5527777777777777,,,,,0.5555,0.8582,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen_qwen2.5_7b_instruct_smoke25,Qwen/Qwen2.5-7B-Instruct,smoke_25,internal_core,25,0.88,24,,0.58,,,,,0.7004,0.9583,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_qwen_qwen2.5_7b_instruct_spider2lite_30,Qwen/Qwen2.5-7B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,full_schema_planner_full_schema_synth,prediction_only_structural_metrics,completed
b2v2,v2,b2v2_spider_smoke10,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_10,internal_core,10,0.8,10,,,,,,,0.4902,0.9433,,full_schema_planner_full_schema_synth,full_ex,completed
b2v2,v2,b2v2_spider_smoke25,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_25,internal_core,25,0.96,25,,,,,,,0.8046,0.9929,,full_schema_planner_full_schema_synth,full_ex,completed
b2v3,v3,b2v3_qwen2p5_coder_7b_bird_minidev_30,Qwen/Qwen2.5-Coder-7B-Instruct,bird_minidev_30,external_validation,30,0.2,27,,0.0,0.9666666666666667,0.0,6610.5,12149.8,0.0950,0.3731,B2_v3,compact_planner_b1v3_fallback,full_ex,completed
b2v3,v3,b2v3_qwen2p5_coder_7b_multidb30,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.7666666666666667,29,,0.0,0.36666666666666664,0.0,1858.3,4408.4,0.5907,0.8821,B2_v3,compact_planner_b1v3_fallback,full_ex,completed
b2v3,v3,b2v3_qwen2p5_coder_7b_smoke25,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_25,internal_core,25,0.96,25,,0.0,0.84,0.0,3030.2,4318.7,0.8046,0.9929,B2_v3,compact_planner_b1v3_fallback,full_ex,completed
b3,,b3_spider_smoke10,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_10,internal_core,10,0.2,2,2,0.475,,,,,0.0567,0.5098,,lexical_schema_linking+knowledge_proxy_dual_retrieval,full_ex,completed
b3v1,v1,b3v1_multidb30,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.4666666666666667,18,18,0.5527777777777777,,,,,0.3023,0.6386,,adaptive_dual_retrieval,full_ex,completed
b3v1,v1,b3v1_spider_smoke10,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_10,internal_core,10,0.3,5,5,0.475,,,,,0.1078,0.6032,,adaptive_dual_retrieval (knowledge OFF when <5 tables),full_ex,completed
b3v2,v2,b3v2_llama_3p1_8b_bird_minidev_30,meta-llama/Llama-3.1-8B-Instruct,bird_minidev_30,external_validation,30,0.13333333333333333,21,,0.5311263736263736,,,,,0.0531,0.2968,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_llama_3p1_8b_multidb30,meta-llama/Llama-3.1-8B-Instruct,multidb_30,internal_core,30,0.6666666666666666,29,,0.5527777777777777,,,,,0.4878,0.8077,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_llama_3p1_8b_smoke10,meta-llama/Llama-3.1-8B-Instruct,smoke_10,internal_core,10,0.8,9,,0.475,,,,,0.4902,0.9433,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_llama_3p1_8b_smoke25,meta-llama/Llama-3.1-8B-Instruct,smoke_25,internal_core,25,0.76,23,,0.58,,,,,0.5657,0.8850,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_llama_3p1_8b_spider2lite_30,meta-llama/Llama-3.1-8B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lex_linker_planner_full_schema_synth,prediction_only_structural_metrics,completed
b3v2,v2,b3v2_multidb30,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.7333333333333333,29,,0.5527777777777777,,,,,0.5555,0.8582,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_qwen2p5_coder_14b_bird_minidev_30,Qwen/Qwen2.5-Coder-14B-Instruct,bird_minidev_30,external_validation,30,0.2,24,,0.5311263736263736,,,,,0.0950,0.3731,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_qwen2p5_coder_14b_multidb30,Qwen/Qwen2.5-Coder-14B-Instruct,multidb_30,internal_core,30,0.8333333333333334,30,,0.5527777777777777,,,,,0.6644,0.9266,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_qwen2p5_coder_14b_smoke10,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_10,internal_core,10,1.0,10,,0.475,,,,,0.7225,1.0000,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_qwen2p5_coder_14b_smoke25,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_25,internal_core,25,0.92,25,,0.58,,,,,0.7503,0.9778,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_qwen2p5_coder_14b_spider2lite_30,Qwen/Qwen2.5-Coder-14B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lex_linker_planner_full_schema_synth,prediction_only_structural_metrics,completed
b3v2,v2,b3v2_qwen2p5_coder_7b_bird_minidev_30,Qwen/Qwen2.5-Coder-7B-Instruct,bird_minidev_30,external_validation,30,0.2,22,,0.5311263736263736,,,,,0.0950,0.3731,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_qwen2p5_coder_7b_spider2lite_30,Qwen/Qwen2.5-Coder-7B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lex_linker_planner_full_schema_synth,prediction_only_structural_metrics,completed
b3v2,v2,b3v2_spider_smoke10,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_10,internal_core,10,0.8,10,,0.475,,,,,0.4902,0.9433,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v2,v2,b3v2_spider_smoke25,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_25,internal_core,25,0.96,25,,0.58,,,,,0.8046,0.9929,,lex_linker_planner_full_schema_synth,full_ex,completed
b3v3,v3,b3v3_qwen2p5_coder_7b_bird_minidev_30,Qwen/Qwen2.5-Coder-7B-Instruct,bird_minidev_30,external_validation,30,0.23333333333333334,27,,0.7473901098901099,0.5666666666666667,,,,0.1179,0.4093,B3_v3,hybrid_retrieval,full_ex,completed
b3v3,v3,b3v3_qwen2p5_coder_7b_multidb30,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.8,30,,0.9097222222222222,0.7666666666666667,,,,0.6269,0.9050,B3_v3,hybrid_retrieval,full_ex,completed
b3v3,v3,b3v3_qwen2p5_coder_7b_smoke25,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_25,internal_core,25,0.96,25,,1.0,1.0,,,,0.8046,0.9929,B3_v3,hybrid_retrieval,full_ex,completed
b4,final,b4_final_multidb30,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.4666666666666667,18,18,0.5527777777777777,,,,,0.3023,0.6386,,adaptive_dual_retrieval,full_ex,completed
b4,final,b4_final_spider_smoke10,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_10,internal_core,10,0.3,5,5,0.475,,,,,0.1078,0.6032,,adaptive_dual_retrieval,full_ex,completed
b4,,b4_spider_smoke10,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_10,internal_core,10,0.2,2,2,0.475,,,,,0.0567,0.5098,,B3_dual_retrieval,full_ex,completed
b4v2,v2,b4v2_llama_3p1_8b_bird_minidev_30,meta-llama/Llama-3.1-8B-Instruct,bird_minidev_30,external_validation,30,0.13333333333333333,21,,0.5311263736263736,,,,,0.0531,0.2968,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_llama_3p1_8b_multidb30,meta-llama/Llama-3.1-8B-Instruct,multidb_30,internal_core,30,0.6333333333333333,29,,0.5527777777777777,,,,,0.4551,0.7813,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_llama_3p1_8b_smoke10,meta-llama/Llama-3.1-8B-Instruct,smoke_10,internal_core,10,0.8,9,,0.475,,,,,0.4902,0.9433,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_llama_3p1_8b_smoke25,meta-llama/Llama-3.1-8B-Instruct,smoke_25,internal_core,25,0.76,23,,0.58,,,,,0.5657,0.8850,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_llama_3p1_8b_spider2lite_30,meta-llama/Llama-3.1-8B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lex_linker_planner_full_schema_synth,prediction_only_structural_metrics,completed
b4v2,v2,b4v2_multidb30,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.7333333333333333,29,,0.5527777777777777,,,,,0.5555,0.8582,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_qwen2p5_coder_14b_bird_minidev_30,Qwen/Qwen2.5-Coder-14B-Instruct,bird_minidev_30,external_validation,30,0.2,24,,0.5311263736263736,,,,,0.0950,0.3731,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_qwen2p5_coder_14b_multidb30,Qwen/Qwen2.5-Coder-14B-Instruct,multidb_30,internal_core,30,0.8666666666666667,30,,0.5527777777777777,,,,,0.7032,0.9469,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_qwen2p5_coder_14b_smoke10,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_10,internal_core,10,1.0,10,,0.475,,,,,0.7225,1.0000,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_qwen2p5_coder_14b_smoke25,Qwen/Qwen2.5-Coder-14B-Instruct,smoke_25,internal_core,25,0.88,25,,0.58,,,,,0.7004,0.9583,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_qwen2p5_coder_14b_spider2lite_30,Qwen/Qwen2.5-Coder-14B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lex_linker_planner_full_schema_synth,prediction_only_structural_metrics,completed
b4v2,v2,b4v2_qwen2p5_coder_7b_bird_minidev_30,Qwen/Qwen2.5-Coder-7B-Instruct,bird_minidev_30,external_validation,30,0.2,22,,0.5311263736263736,,,,,0.0950,0.3731,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_qwen2p5_coder_7b_spider2lite_30,Qwen/Qwen2.5-Coder-7B-Instruct,spider2lite_30,external_validation,30,0.0,0,,0.8373076923076923,,,,,0.0000,0.1135,,lex_linker_planner_full_schema_synth,prediction_only_structural_metrics,completed
b4v2,v2,b4v2_spider_smoke10,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_10,internal_core,10,0.8,10,,0.475,,,,,0.4902,0.9433,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v2,v2,b4v2_spider_smoke25,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_25,internal_core,25,0.96,25,,0.58,,,,,0.8046,0.9929,,lex_linker_planner_full_schema_synth,full_ex,completed
b4v3,v3,b4v3_qwen2p5_coder_7b_bird_minidev_30,Qwen/Qwen2.5-Coder-7B-Instruct,bird_minidev_30,external_validation,30,0.2,27,,0.0,0.9666666666666667,0.0,6467.1,12132.2,0.0950,0.3731,B4_v3,hybrid_retrieval_planner_multicand_repair,full_ex,completed
b4v3,v3,b4v3_qwen2p5_coder_7b_multidb30,Qwen/Qwen2.5-Coder-7B-Instruct,multidb_30,internal_core,30,0.7666666666666667,29,,0.0,0.36666666666666664,0.0,1933.7,4428.4,0.5907,0.8821,B4_v3,hybrid_retrieval_planner_multicand_repair,full_ex,completed
b4v3,v3,b4v3_qwen2p5_coder_7b_smoke25,Qwen/Qwen2.5-Coder-7B-Instruct,smoke_25,internal_core,25,0.96,25,,0.0,0.84,0.0,3053.4,4339.2,0.8046,0.9929,B4_v3,hybrid_retrieval_planner_multicand_repair,full_ex,completed
