instance_id,lane,db_id,route_reason,dialect,final_source,mode,parses,safe_select,all_known,unknown_tables_n,unknown_columns_n,has_join,has_groupby,has_subquery,executable,rows_count,error_type,judge_invoked,judge_overrode,judge_confidence,repair_used,repair_rounds,bytes_billed,bytes_processed,lm_calls,latency_ms,completion_tokens
bq011,A_bq,ga4,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,True,0,0,False,False,True,True,1,,True,False,0.95,False,0,41943040,5867716,7,58568.51,758
bq010,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,3,1,True,True,True,False,0,BadRequest,True,False,0.9,True,1,0,0,5,79004.32,1268
bq009,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,3,3,True,True,False,False,0,BadRequest,False,False,0.0,True,1,0,0,4,54296.05,878
bq001,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,3,1,True,True,False,False,0,BadRequest,True,False,0.7,True,1,0,0,5,66848.01,1076
bq002,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,2,6,False,True,False,False,0,BadRequest,False,False,0.0,True,1,0,0,4,77319.38,1257
bq003,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,1,2,False,True,False,False,0,BadRequest,True,False,0.9,True,1,0,0,5,56297.63,904
bq004,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,1,2,True,True,False,False,0,BadRequest,True,True,0.9,True,1,0,0,5,40257.34,639
bq008,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,3,5,True,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,23891.72,379
bq269,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,2,7,False,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,16249.95,262
bq268,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,3,4,False,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,11301.93,181
bq270,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,3,0,True,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,27191.82,443
bq275,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,3,0,True,True,False,True,0,,False,False,0.0,False,0,10485760,15671,1,15916.64,258
bq374,A_bq,ga360,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,3,0,True,False,True,False,0,BadRequest,False,False,0.0,False,0,0,0,1,20745.83,337
sf_bq029,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq026,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq091,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq099,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq033,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq209,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq027,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq210,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq211,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq213,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq212,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq214,A_sf,PATENTS_GOOGLE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq216,A_sf,PATENTS_GOOGLE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq247,A_sf,PATENTS_GOOGLE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq127,A_sf,PATENTS_GOOGLE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq215,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq222,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq221,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq223,A_sf,PATENTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq420,A_sf,PATENTS_USPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq207,A_sf,PATENTS_USPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq128,A_sf,PATENTSVIEW,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq246,A_sf,PATENTSVIEW,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq052,A_sf,PATENTSVIEW,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq036,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq100,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq101,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq182,A_sf,GITHUB_REPOS_DATE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq217,A_sf,GITHUB_REPOS_DATE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq191,A_sf,GITHUB_REPOS_DATE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq224,A_sf,GITHUB_REPOS_DATE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq192,A_sf,GITHUB_REPOS_DATE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq225,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq180,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq233,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq248,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq193,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq295,A_sf,GITHUB_REPOS_DATE,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq249,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq375,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq255,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq194,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq377,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq359,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq252,A_sf,GITHUB_REPOS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq251,A_sf,PYPI,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
bq019,A_bq,cms_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,2,1,False,True,True,False,0,BadRequest,False,False,0.0,False,0,0,0,1,11799.25,190
bq234,A_bq,cms_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,1,2,False,True,False,False,0,NotFound,False,False,0.0,False,0,0,0,1,4559.18,70
bq235,A_bq,cms_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,0,1,True,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,7966.2,127
bq172,A_bq,cms_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,1,2,False,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,5548.71,86
bq177,A_bq,cms_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,4,6,True,True,True,False,0,BadRequest,False,False,0.0,False,0,0,0,1,19546.06,318
bq354,A_bq,cms_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,3,4,True,True,False,False,0,NotFound,False,False,0.0,False,0,0,0,1,13581.17,219
bq355,A_bq,cms_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,1,2,False,False,False,False,0,NotFound,False,False,0.0,False,0,0,0,1,4104.4,63
bq032,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,0,6,False,False,True,False,0,BadRequest,False,False,0.0,False,0,0,0,1,6346.71,98
bq119,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,1,1,False,True,False,True,3,,False,False,0.0,False,0,144703488,144172175,1,6723.51,104
sf_bq117,A_sf,NOAA_DATA,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
bq419,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,3,3,False,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,10684.25,170
sf_bq071,A_sf,NOAA_DATA_PLUS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq236,A_sf,NOAA_DATA_PLUS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
bq356,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,4,0,True,True,True,True,1,,False,False,0.0,False,0,10485760,79078,1,19654.19,317
bq042,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,8,0,False,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,49036.78,800
bq394,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,2,6,True,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,21225.95,344
bq357,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,1,5,False,True,False,False,0,Forbidden,False,False,0.0,False,0,0,0,1,7090.05,111
bq181,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,4,2,True,True,False,True,1,,False,False,0.0,False,0,160432128,159787960,1,20092.04,325
bq045,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,4,1,True,True,True,False,0,BadRequest,False,False,0.0,False,0,0,0,1,17663.51,285
sf_bq358,A_sf,NEW_YORK_CITIBIKE_1,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
bq290,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,False,True,False,0,0,False,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,49026.99,800
bq031,A_bq,noaa_data,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,False,True,False,0,0,False,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,49136.74,800
bq392,A_bq,noaa_gsod,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,1,2,False,True,False,True,3,,False,False,0.0,False,0,109051904,108748590,1,5499.9,85
sf_bq050,A_sf,NEW_YORK_CITIBIKE_1,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq426,A_sf,NEW_YORK_CITIBIKE_1,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq291,A_sf,NOAA_GLOBAL_FORECAST_SYSTEM,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
bq208,A_bq,new_york_noaa,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,1,0,False,False,False,False,0,NotFound,False,False,0.0,False,0,0,0,1,8957.09,142
bq047,A_bq,new_york_noaa,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,False,True,False,0,0,False,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,49104.87,800
bq048,A_bq,new_york_noaa,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,5,5,True,True,False,False,0,NotFound,False,False,0.0,False,0,0,0,1,23477.12,383
bq293,A_bq,new_york_geo,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,False,True,False,0,0,False,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,49155.46,800
sf_bq017,A_sf,GEO_OPENSTREETMAP,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq131,A_sf,GEO_OPENSTREETMAP,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq349,A_sf,GEO_OPENSTREETMAP,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq007,A_sf,CENSUS_BUREAU_ACS_2,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq429,A_sf,CENSUS_BUREAU_ACS_2,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq073,A_sf,CENSUS_BUREAU_ACS_2,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq410,A_sf,CENSUS_BUREAU_ACS_2,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq348,A_sf,GEO_OPENSTREETMAP,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq253,A_sf,GEO_OPENSTREETMAP,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq254,A_sf,GEO_OPENSTREETMAP,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq056,A_sf,GEO_OPENSTREETMAP_BOUNDARIES,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq289,A_sf,GEO_OPENSTREETMAP_CENSUS_PLACES,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq250,A_sf,GEO_OPENSTREETMAP_WORLDPOP,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq083,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq184,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq195,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq256,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq080,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq342,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq341,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq444,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq340,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq005,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq334,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq335,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq057,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq068,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq092,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq093,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq292,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq135,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq136,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq065,A_sf,CRYPTO,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq037,A_sf,HUMAN_GENOME_VARIANTS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq012,A_sf,ETHEREUM_BLOCKCHAIN,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq187,A_sf,ETHEREUM_BLOCKCHAIN,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
sf_bq450,A_sf,ETHEREUM_BLOCKCHAIN,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
bq034,A_bq,ghcn_d,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,1,3,False,False,False,False,0,NotFound,False,False,0.0,False,0,0,0,1,4566.11,73
bq383,A_bq,ghcn_d,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,0,1,True,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,20640.62,338
bq051,A_bq,new_york_ghcn,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,6,4,True,True,False,False,0,Forbidden,False,False,0.0,False,0,0,0,1,31824.77,522
bq038,A_bq,new_york,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,2,1,True,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,16338.78,265
bq053,A_bq,new_york,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,True,0,0,True,True,True,False,0,BadRequest,False,False,0.0,False,0,0,0,1,13350.95,215
bq054,A_bq,new_york,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,0,1,False,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,9528.25,152
bq021,A_bq,new_york,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,2,0,True,True,False,False,0,InternalServerError,False,False,0.0,False,0,0,0,1,13689.65,221
bq202,A_bq,new_york_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,0,3,False,True,False,True,1,,False,False,0.0,False,0,425721856,424869768,1,7335.45,117
bq185,A_bq,new_york_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,0,1,False,False,True,False,0,BadRequest,False,False,0.0,False,0,0,0,1,10660.84,171
bq040,A_bq,new_york_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,2,5,False,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,26828.06,434
bq098,A_bq,new_york_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,True,0,0,True,True,True,False,0,InternalServerError,False,False,0.0,False,0,0,0,1,17916.39,289
bq039,A_bq,new_york_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,True,0,0,True,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,24964.94,407
bq203,A_bq,new_york_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,2,3,False,True,False,True,5,,False,False,0.0,False,0,10485760,19181,1,10700.75,172
bq035,A_bq,san_francisco,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,True,0,0,True,True,False,True,74,,False,False,0.0,False,0,20971520,15738960,1,6071.54,96
bq186,A_bq,san_francisco,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,0,1,False,True,False,True,37,,False,False,0.0,False,0,16777216,15738368,1,8043.65,128
bq081,A_bq,san_francisco_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,True,0,0,True,False,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,10060.85,162
sf_bq294,A_sf,SAN_FRANCISCO_PLUS,blocked_snowflake_no_creds,snowflake,,blocked_snowflake,,False,,,,,,,,,blocked,False,False,,,,,,,,
bq339,A_bq,san_francisco_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,execute,True,True,False,0,2,False,True,False,True,1,,False,False,0.0,False,0,48234496,47291830,1,8849.79,141
bq400,A_bq,san_francisco_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,True,0,0,True,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,12744.8,205
bq059,A_bq,san_francisco_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,False,0,3,False,False,True,False,0,BadRequest,False,False,0.0,False,0,0,0,1,6142.0,97
bq376,A_bq,san_francisco_plus,bq_creds_and_dataset_match,bigquery,C0_anchor,dry_run,True,True,True,0,0,True,True,False,False,0,BadRequest,False,False,0.0,False,0,0,0,1,11230.32,181
